CMDLINE /root/multicens/env/bin/python app.py
MEM 0.585938 1687588162.3752
MEM 17.945312 1687588162.4756
MEM 33.097656 1687588162.5759
MEM 45.972656 1687588162.6763
MEM 57.246094 1687588162.7766
MEM 63.765625 1687588162.8770
MEM 68.375000 1687588162.9774
MEM 73.265625 1687588163.0777
MEM 87.199219 1687588163.1781
MEM 94.519531 1687588163.2788
MEM 103.226562 1687588163.3791
MEM 112.289062 1687588163.4795
MEM 115.636719 1687588163.5799
MEM 123.691406 1687588163.6803
MEM 134.718750 1687588163.7806
MEM 146.031250 1687588163.8809
MEM 149.390625 1687588163.9842
MEM 149.390625 1687588164.0852
MEM 149.390625 1687588164.1862
MEM 149.390625 1687588164.2872
MEM 149.390625 1687588164.3876
MEM 149.390625 1687588164.4879
MEM 149.390625 1687588164.5882
MEM 149.390625 1687588164.6885
MEM 149.390625 1687588164.7889
MEM 149.390625 1687588164.8893
MEM 149.390625 1687588164.9896
MEM 149.390625 1687588165.0900
MEM 149.390625 1687588165.1904
MEM 149.390625 1687588165.2907
MEM 149.390625 1687588165.3911
MEM 149.390625 1687588165.4914
MEM 149.390625 1687588165.5919
MEM 149.390625 1687588165.6924
MEM 149.390625 1687588165.7928
MEM 149.390625 1687588165.8932
MEM 149.390625 1687588165.9936
MEM 149.390625 1687588166.0941
MEM 149.390625 1687588166.1946
MEM 149.390625 1687588166.2952
MEM 149.390625 1687588166.3958
MEM 149.390625 1687588166.4963
MEM 149.390625 1687588166.5968
MEM 149.390625 1687588166.6974
MEM 149.390625 1687588166.7979
MEM 149.390625 1687588166.8984
MEM 149.390625 1687588166.9989
MEM 149.390625 1687588167.0995
MEM 149.390625 1687588167.2000
MEM 149.390625 1687588167.3006
MEM 149.390625 1687588167.4010
MEM 149.390625 1687588167.5017
MEM 149.390625 1687588167.6023
MEM 149.390625 1687588167.7028
MEM 149.390625 1687588167.8034
MEM 149.390625 1687588167.9039
MEM 149.390625 1687588168.0045
MEM 149.390625 1687588168.1050
MEM 149.390625 1687588168.2055
MEM 149.390625 1687588168.3060
MEM 149.390625 1687588168.4066
MEM 149.390625 1687588168.5071
MEM 149.390625 1687588168.6076
MEM 149.390625 1687588168.7082
MEM 149.390625 1687588168.8087
MEM 149.390625 1687588168.9093
MEM 149.390625 1687588169.0098
MEM 149.390625 1687588169.1103
MEM 149.390625 1687588169.2108
MEM 149.390625 1687588169.3114
MEM 149.390625 1687588169.4119
MEM 149.390625 1687588169.5123
MEM 149.390625 1687588169.6128
MEM 149.390625 1687588169.7132
MEM 149.390625 1687588169.8136
MEM 149.390625 1687588169.9141
MEM 149.390625 1687588170.0145
MEM 149.390625 1687588170.1149
MEM 149.390625 1687588170.2154
MEM 149.390625 1687588170.3158
MEM 149.390625 1687588170.4161
MEM 149.390625 1687588170.5165
MEM 149.390625 1687588170.6168
MEM 149.390625 1687588170.7173
MEM 149.390625 1687588170.8177
MEM 149.390625 1687588170.9181
MEM 149.390625 1687588171.0185
MEM 149.390625 1687588171.1189
MEM 149.390625 1687588171.2193
MEM 149.390625 1687588171.3198
MEM 149.390625 1687588171.4201
MEM 149.390625 1687588171.5205
MEM 149.390625 1687588171.6208
MEM 149.390625 1687588171.7212
MEM 149.390625 1687588171.8216
MEM 149.390625 1687588171.9220
MEM 149.390625 1687588172.0225
MEM 149.390625 1687588172.1229
MEM 149.390625 1687588172.2233
MEM 149.390625 1687588172.3236
MEM 149.390625 1687588172.4240
MEM 149.390625 1687588172.5244
MEM 149.390625 1687588172.6249
MEM 149.390625 1687588172.7252
MEM 149.390625 1687588172.8255
MEM 149.390625 1687588172.9258
MEM 149.390625 1687588173.0261
MEM 149.390625 1687588173.1265
