CMDLINE /root/multicens/env/bin/python app.py
MEM 0.585938 1687328541.0781
MEM 19.839844 1687328541.1784
MEM 37.179688 1687328541.2787
MEM 48.746094 1687328541.3790
MEM 61.445312 1687328541.4794
MEM 65.546875 1687328541.5797
MEM 69.917969 1687328541.6800
MEM 80.078125 1687328541.7803
MEM 93.738281 1687328541.8806
MEM 100.265625 1687328541.9809
MEM 110.816406 1687328542.0812
MEM 115.632812 1687328542.1815
MEM 124.359375 1687328542.2817
MEM 135.578125 1687328542.3820
MEM 148.089844 1687328542.4823
MEM 149.382812 1687328542.5841
MEM 149.382812 1687328542.6851
MEM 149.382812 1687328542.7862
MEM 149.382812 1687328542.8865
MEM 149.382812 1687328542.9868
MEM 149.382812 1687328543.0872
MEM 149.382812 1687328543.1875
MEM 149.382812 1687328543.2877
MEM 149.382812 1687328543.3881
MEM 149.382812 1687328543.4884
MEM 149.382812 1687328543.5888
MEM 149.382812 1687328543.6891
MEM 149.382812 1687328543.7894
MEM 149.382812 1687328543.8899
MEM 149.382812 1687328543.9903
MEM 149.382812 1687328544.0909
MEM 149.382812 1687328544.1914
MEM 149.382812 1687328544.2919
MEM 149.382812 1687328544.3924
MEM 149.382812 1687328544.4929
MEM 149.382812 1687328544.5934
MEM 149.382812 1687328544.6939
MEM 149.382812 1687328544.7943
MEM 149.382812 1687328544.8948
MEM 149.382812 1687328544.9954
MEM 149.382812 1687328545.0958
MEM 149.382812 1687328545.1962
MEM 149.382812 1687328545.2966
MEM 149.382812 1687328545.3969
MEM 149.382812 1687328545.4971
MEM 149.382812 1687328545.5974
MEM 149.382812 1687328545.6976
MEM 149.382812 1687328545.7979
MEM 149.382812 1687328545.8982
MEM 149.382812 1687328545.9984
MEM 149.382812 1687328546.0987
MEM 149.382812 1687328546.1990
MEM 149.382812 1687328546.2995
MEM 149.382812 1687328546.3997
MEM 149.382812 1687328546.5000
MEM 149.382812 1687328546.6003
MEM 149.382812 1687328546.7005
MEM 149.382812 1687328546.8008
MEM 149.382812 1687328546.9013
MEM 149.382812 1687328547.0018
MEM 149.382812 1687328547.1023
MEM 149.382812 1687328547.2027
MEM 149.382812 1687328547.3030
MEM 149.382812 1687328547.4032
MEM 149.382812 1687328547.5034
MEM 149.382812 1687328547.6037
MEM 149.382812 1687328547.7041
MEM 149.382812 1687328547.8046
MEM 149.382812 1687328547.9050
MEM 149.382812 1687328548.0055
MEM 149.382812 1687328548.1060
MEM 149.382812 1687328548.2065
MEM 149.382812 1687328548.3070
MEM 149.382812 1687328548.4075
MEM 149.382812 1687328548.5079
MEM 149.382812 1687328548.6082
MEM 149.382812 1687328548.7085
MEM 149.382812 1687328548.8088
MEM 149.382812 1687328548.9092
MEM 149.382812 1687328549.0095
MEM 149.382812 1687328549.1098
MEM 149.382812 1687328549.2102
MEM 149.382812 1687328549.3107
MEM 149.382812 1687328549.4112
MEM 149.382812 1687328549.5117
MEM 149.382812 1687328549.6122
MEM 149.382812 1687328549.7126
MEM 149.382812 1687328549.8129
