CMDLINE /root/multicens/env/bin/python app.py
MEM 1.437500 1687497143.7208
MEM 17.136719 1687497143.8212
MEM 25.593750 1687497143.9216
MEM 35.906250 1687497144.0219
MEM 46.664062 1687497144.1223
MEM 53.679688 1687497144.2227
MEM 61.445312 1687497144.3230
MEM 65.054688 1687497144.4234
MEM 68.886719 1687497144.5237
MEM 72.636719 1687497144.6241
MEM 82.421875 1687497144.7245
MEM 89.644531 1687497144.8249
MEM 96.566406 1687497144.9252
MEM 100.328125 1687497145.0256
MEM 105.609375 1687497145.1260
MEM 110.687500 1687497145.2264
MEM 117.308594 1687497145.3267
MEM 119.886719 1687497145.4271
MEM 127.191406 1687497145.5274
MEM 136.320312 1687497145.6278
MEM 140.863281 1687497145.7282
MEM 147.355469 1687497145.8286
MEM 149.421875 1687497145.9302
MEM 149.421875 1687497146.0305
MEM 149.421875 1687497146.1309
MEM 149.421875 1687497146.2314
MEM 149.421875 1687497146.3318
MEM 149.421875 1687497146.4322
MEM 149.421875 1687497146.5326
MEM 149.421875 1687497146.6330
MEM 149.421875 1687497146.7341
MEM 149.421875 1687497146.8352
MEM 149.421875 1687497146.9362
MEM 149.421875 1687497147.0372
MEM 149.421875 1687497147.1376
MEM 149.421875 1687497147.2380
MEM 149.421875 1687497147.3384
MEM 149.421875 1687497147.4387
MEM 149.421875 1687497147.5391
MEM 149.421875 1687497147.6395
MEM 149.421875 1687497147.7398
MEM 149.421875 1687497147.8402
MEM 149.421875 1687497147.9406
MEM 149.421875 1687497148.0410
MEM 149.421875 1687497148.1414
MEM 149.421875 1687497148.2418
MEM 149.421875 1687497148.3423
MEM 149.421875 1687497148.4428
MEM 149.421875 1687497148.5432
MEM 149.421875 1687497148.6436
MEM 149.421875 1687497148.7440
MEM 149.421875 1687497148.8445
MEM 149.421875 1687497148.9448
MEM 149.421875 1687497149.0453
MEM 149.421875 1687497149.1458
MEM 149.421875 1687497149.2463
MEM 149.421875 1687497149.3468
MEM 149.421875 1687497149.4473
MEM 149.421875 1687497149.5478
MEM 149.421875 1687497149.6484
MEM 149.421875 1687497149.7489
MEM 149.421875 1687497149.8493
MEM 149.421875 1687497149.9498
MEM 149.421875 1687497150.0503
MEM 149.421875 1687497150.1507
MEM 149.421875 1687497150.2512
MEM 149.421875 1687497150.3518
MEM 149.421875 1687497150.4523
MEM 149.421875 1687497150.5528
MEM 149.421875 1687497150.6533
MEM 149.421875 1687497150.7538
MEM 149.421875 1687497150.8544
MEM 149.421875 1687497150.9549
MEM 149.421875 1687497151.0554
MEM 149.421875 1687497151.1560
MEM 149.421875 1687497151.2565
MEM 149.421875 1687497151.3569
MEM 149.421875 1687497151.4572
MEM 149.421875 1687497151.5577
MEM 149.421875 1687497151.6582
MEM 149.421875 1687497151.7588
MEM 149.421875 1687497151.8593
MEM 149.421875 1687497151.9598
MEM 149.421875 1687497152.0603
MEM 149.421875 1687497152.1608
MEM 149.421875 1687497152.2613
MEM 149.421875 1687497152.3618
MEM 149.421875 1687497152.4622
MEM 149.421875 1687497152.5627
MEM 149.421875 1687497152.6631
MEM 149.421875 1687497152.7635
MEM 149.421875 1687497152.8640
MEM 149.421875 1687497152.9645
MEM 149.421875 1687497153.0650
MEM 149.421875 1687497153.1656
MEM 149.421875 1687497153.2661
MEM 149.421875 1687497153.3666
MEM 149.421875 1687497153.4671
MEM 149.421875 1687497153.5676
MEM 149.421875 1687497153.6682
MEM 149.421875 1687497153.7687
MEM 149.421875 1687497153.8692
MEM 149.421875 1687497153.9698
MEM 149.421875 1687497154.0702
MEM 149.421875 1687497154.1706
MEM 149.421875 1687497154.2710
MEM 149.421875 1687497154.3713
MEM 149.421875 1687497154.4717
MEM 149.421875 1687497154.5720
MEM 149.421875 1687497154.6724
MEM 149.421875 1687497154.7728
MEM 149.421875 1687497154.8732
MEM 149.421875 1687497154.9736
MEM 149.421875 1687497155.0739
MEM 149.421875 1687497155.1743
MEM 149.421875 1687497155.2747
MEM 149.421875 1687497155.3750
MEM 149.421875 1687497155.4754
MEM 149.421875 1687497155.5758
MEM 149.421875 1687497155.6761
MEM 149.421875 1687497155.7765
MEM 149.421875 1687497155.8769
MEM 149.421875 1687497155.9772
MEM 149.421875 1687497156.0775
MEM 149.421875 1687497156.1779
MEM 149.421875 1687497156.2782
MEM 149.421875 1687497156.3785
MEM 149.421875 1687497156.4789
MEM 149.421875 1687497156.5792
MEM 149.421875 1687497156.6795
MEM 149.421875 1687497156.7799
MEM 149.421875 1687497156.8801
MEM 149.421875 1687497156.9805
MEM 149.421875 1687497157.0809
MEM 149.421875 1687497157.1812
MEM 149.421875 1687497157.2816
MEM 149.421875 1687497157.3818
MEM 149.421875 1687497157.4822
MEM 149.421875 1687497157.5826
MEM 149.421875 1687497157.6829
MEM 149.421875 1687497157.7833
MEM 149.421875 1687497157.8836
MEM 149.421875 1687497157.9840
MEM 149.421875 1687497158.0844
MEM 149.421875 1687497158.1848
MEM 149.421875 1687497158.2851
MEM 149.421875 1687497158.3856
MEM 149.421875 1687497158.4861
MEM 149.421875 1687497158.5866
MEM 149.421875 1687497158.6871
MEM 149.421875 1687497158.7877
MEM 149.421875 1687497158.8882
MEM 149.421875 1687497158.9887
MEM 149.421875 1687497159.0893
MEM 149.421875 1687497159.1898
MEM 149.421875 1687497159.2903
MEM 149.421875 1687497159.3908
MEM 149.421875 1687497159.4913
MEM 149.421875 1687497159.5918
MEM 149.421875 1687497159.6922
MEM 149.421875 1687497159.7925
MEM 149.421875 1687497159.8928
MEM 149.421875 1687497159.9930
MEM 149.421875 1687497160.0933
MEM 149.421875 1687497160.1937
MEM 149.421875 1687497160.2940
MEM 149.421875 1687497160.3944
MEM 149.421875 1687497160.4946
MEM 149.421875 1687497160.5950
MEM 149.421875 1687497160.6953
MEM 149.421875 1687497160.7957
MEM 149.421875 1687497160.8960
MEM 149.421875 1687497160.9963
MEM 149.421875 1687497161.0966
MEM 149.421875 1687497161.1970
MEM 149.421875 1687497161.2973
MEM 149.421875 1687497161.3976
MEM 149.421875 1687497161.4979
MEM 149.421875 1687497161.5982
MEM 149.421875 1687497161.6987
MEM 149.421875 1687497161.7992
MEM 149.421875 1687497161.8997
MEM 149.421875 1687497162.0003
MEM 149.421875 1687497162.1007
MEM 149.421875 1687497162.2013
MEM 149.421875 1687497162.3018
MEM 149.421875 1687497162.4023
MEM 149.421875 1687497162.5026
MEM 149.421875 1687497162.6030
MEM 149.421875 1687497162.7036
MEM 149.421875 1687497162.8041
MEM 149.421875 1687497162.9046
MEM 149.421875 1687497163.0051
MEM 149.421875 1687497163.1056
MEM 149.421875 1687497163.2061
MEM 149.421875 1687497163.3067
MEM 149.421875 1687497163.4072
MEM 149.421875 1687497163.5077
MEM 149.421875 1687497163.6082
MEM 149.421875 1687497163.7087
MEM 149.421875 1687497163.8093
MEM 149.421875 1687497163.9098
MEM 149.421875 1687497164.0103
MEM 149.421875 1687497164.1108
MEM 149.421875 1687497164.2114
MEM 149.421875 1687497164.3119
MEM 149.421875 1687497164.4125
MEM 149.421875 1687497164.5130
MEM 149.421875 1687497164.6135
MEM 149.421875 1687497164.7141
MEM 149.421875 1687497164.8146
MEM 149.421875 1687497164.9151
MEM 149.421875 1687497165.0157
MEM 149.421875 1687497165.1162
MEM 149.421875 1687497165.2167
MEM 149.421875 1687497165.3173
MEM 149.421875 1687497165.4178
MEM 149.421875 1687497165.5183
MEM 149.421875 1687497165.6188
MEM 149.421875 1687497165.7193
MEM 149.421875 1687497165.8199
MEM 149.421875 1687497165.9203
MEM 149.421875 1687497166.0209
MEM 149.421875 1687497166.1214
MEM 149.421875 1687497166.2219
MEM 149.421875 1687497166.3224
MEM 149.421875 1687497166.4229
MEM 149.421875 1687497166.5234
MEM 149.421875 1687497166.6239
MEM 149.421875 1687497166.7243
MEM 149.421875 1687497166.8249
MEM 149.421875 1687497166.9255
MEM 149.421875 1687497167.0260
MEM 149.421875 1687497167.1264
MEM 149.421875 1687497167.2270
MEM 149.421875 1687497167.3275
MEM 149.421875 1687497167.4280
MEM 149.421875 1687497167.5285
MEM 149.421875 1687497167.6290
MEM 149.421875 1687497167.7296
MEM 149.421875 1687497167.8301
MEM 149.421875 1687497167.9306
